State/UT,District,ds,Category,y
Andhra Pradesh,Chittoor,2021-07-01,Outcome,47.93
Andhra Pradesh,Chittoor,2021-07-01,Overall,436.64
Andhra Pradesh,Chittoor,2021-07-01,SS,100.0
Andhra Pradesh,East Godavari,2018-07-01,DL,12.0
Andhra Pradesh,East Godavari,2018-07-01,ECT,78.89
Andhra Pradesh,East Godavari,2018-07-01,GP,71.43
Andhra Pradesh,East Godavari,2018-07-01,IF,60.78
Andhra Pradesh,East Godavari,2018-07-01,Outcome,74.48
Andhra Pradesh,East Godavari,2018-07-01,Overall,323.29
Andhra Pradesh,East Godavari,2018-07-01,SS,25.71
Andhra Pradesh,East Godavari,2019-07-01,DL,20.0
Andhra Pradesh,East Godavari,2019-07-01,ECT,83.33
Andhra Pradesh,East Godavari,2019-07-01,GP,71.43
Andhra Pradesh,East Godavari,2019-07-01,IF,68.63
Andhra Pradesh,East Godavari,2019-07-01,Outcome,73.79
Andhra Pradesh,East Godavari,2019-07-01,Overall,345.75
Andhra Pradesh,East Godavari,2019-07-01,SS,28.57
Andhra Pradesh,East Godavari,2020-07-01,DL,16.0
Andhra Pradesh,East Godavari,2020-07-01,ECT,85.56
Andhra Pradesh,East Godavari,2020-07-01,GP,44.05
Andhra Pradesh,East Godavari,2020-07-01,IF,82.35
Andhra Pradesh,East Godavari,2020-07-01,Outcome,72.76
Andhra Pradesh,East Godavari,2020-07-01,Overall,392.15
Andhra Pradesh,East Godavari,2020-07-01,SS,91.43
Andhra Pradesh,East Godavari,2021-07-01,DL,24.0
Andhra Pradesh,East Godavari,2021-07-01,ECT,94.44
Andhra Pradesh,East Godavari,2021-07-01,GP,82.14
Andhra Pradesh,East Godavari,2021-07-01,IF,62.75
Andhra Pradesh,East Godavari,2021-07-01,Outcome,51.38
Andhra Pradesh,East Godavari,2021-07-01,Overall,414.71
Andhra Pradesh,East Godavari,2021-07-01,SS,100.0
Andhra Pradesh,Guntur,2018-07-01,DL,12.0
Andhra Pradesh,Guntur,2018-07-01,ECT,83.33
Andhra Pradesh,Guntur,2018-07-01,GP,71.43
Andhra Pradesh,Guntur,2018-07-01,IF,50.98
Andhra Pradesh,Guntur,2018-07-01,Outcome,64.48
Andhra Pradesh,Guntur,2018-07-01,Overall,347.93
